rating,title
4.491071428571429,Jack (1996)
4.466442953020135,Everyone Says I Love You (1996)
4.466101694915254,Cinema Paradiso (1988)
4.45679012345679,"Maltese Falcon, The (1941)"
4.447761194029851,"Haunted World of Edward D. Wood Jr., The (1995)"
4.445229681978798,What's Eating Gilbert Grape (1993)
4.3875598086124405,It Happened One Night (1934)
4.385767790262173,Mighty Aphrodite (1995)
4.3584905660377355,Legends of the Fall (1994)
4.344,"Clockwork Orange, A (1971)"
4.333333333333333,Annie Hall (1977)
4.292929292929293,2001: A Space Odyssey (1968)
4.2926829268292686,"Month by the Lake, A (1995)"
4.292237442922374,Harold and Maude (1971)
4.291666666666667,Spawn (1997)
4.28974358974359,Snow White and the Seven Dwarfs (1937)
4.284916201117318,"Apartment, The (1960)"
4.283292978208232,Supercop (1992)
4.265432098765432,"English Patient, The (1996)"
4.262626262626263,Heat (1995)
